loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,loan_status,delinq_2yrs,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,mths_since_last_major_derog,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,
5000.0,5000.0,5000.0,36.0,10.49,162.49,9.0,10.0,5.0,75000.0,1.0,0.0,665.0,669.0,1.0,0,74.0,4.0,1.0,6436.0,47.3,9.0,3892.81,3892.81,1455.13,1455.13,1107.19,347.94,0.0,0,0.0,0.0,23339.0,0.0,1.0,0.0,0.0,40.0,16903.0,50.0,1.0,1.0,3848.0,50.0,13600.0,0.0,0.0,1.0,1.0,7780.0,7164.0,47.3,0.0,0.0,40.0,314.0,10.0,10.0,1.0,10.0,0,3.0,0,0.0,2.0,2.0,2.0,4.0,1.0,3.0,7.0,2.0,4.0,0.0,0.0,0.0,1.0,100.0,0.0,1.0,0.0,47169.0,23339.0,13600.0,33569.0,0,0,0,0,0,0,
13000.0,13000.0,13000.0,36.0,5.32,391.5,10.0,10.0,7.5,101800.0,1.0,0.0,720.0,724.0,0.0,0,79.0,8.0,3.0,21213.0,57.5,21.0,9941.36,9941.36,3513.89,3513.89,3058.64,455.25,0.0,0,0.0,0.0,168092.0,0.0,2.0,0.0,2.0,14.0,20845.0,40.0,2.0,3.0,2482.0,47.0,36900.0,1.0,2.0,2.0,5.0,21012.0,718.0,77.6,0.0,0.0,142.0,233.0,11.0,11.0,3.0,11.0,0,11.0,0,0.0,1.0,4.0,1.0,4.0,7.0,5.0,11.0,4.0,8.0,0.0,0.0,0.0,2.0,100.0,100.0,0.0,0.0,244965.0,42058.0,3200.0,52184.0,0,0,0,0,0,0,
18000.0,18000.0,18000.0,36.0,7.99,563.98,10.0,2.0,7.5,60000.0,1.0,0.0,775.0,779.0,0.0,0,0,13.0,0.0,2583.0,17.8,22.0,13894.7,13894.7,5063.83,5063.83,4105.3,958.53,0.0,0,0.0,0.0,246149.0,0.0,6.0,0.0,0.0,29.0,99711.0,29.0,0.0,0.0,0.0,38.0,14500.0,0.0,4.0,0.0,0.0,20512.0,11100.0,0.0,0.0,0.0,194.0,188.0,51.0,29.0,3.0,96.0,0,0,0,0.0,0.0,2.0,2.0,6.0,7.0,5.0,11.0,2.0,13.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,297300.0,114859.0,11100.0,127735.0,0,0,0,0,0,0,
14400.0,14400.0,14400.0,60.0,7.99,291.92,10.0,9.0,7.5,135000.0,1.0,1.0,695.0,699.0,0.0,11.0,0,15.0,0.0,8613.0,37.4,30.0,12587.91,12587.91,2611.3,2611.3,1812.09,799.21,0.0,11.0,0.0,0.0,111622.0,1.0,7.0,1.0,2.0,4.0,103009.0,97.0,0.0,0.0,4136.0,81.0,23000.0,0.0,0.0,1.0,2.0,7441.0,12987.0,39.9,1.0,0.0,130.0,206.0,65.0,4.0,1.0,65.0,28.0,6.0,28.0,1.0,4.0,4.0,7.0,8.0,17.0,8.0,11.0,4.0,15.0,0.0,0.0,1.0,1.0,88.9,42.9,0.0,0.0,123895.0,111622.0,21600.0,100895.0,0,0,0,0,0,0,
7000.0,7000.0,7000.0,36.0,5.32,210.81,10.0,2.0,5.0,85000.0,1.0,1.0,705.0,709.0,0.0,20.0,30.0,14.0,1.0,6565.0,19.7,17.0,5353.02,5353.02,1892.12,1892.12,1646.98,245.14,0.0,0,0.0,0.0,42606.0,0.0,2.0,0.0,0.0,30.0,36041.0,90.0,2.0,4.0,1157.0,58.0,33300.0,0.0,0.0,0.0,4.0,3043.0,15577.0,16.7,0.0,0.0,70.0,298.0,9.0,9.0,0.0,9.0,20.0,18.0,20.0,0.0,4.0,7.0,6.0,7.0,2.0,12.0,15.0,7.0,14.0,0.0,0.0,0.0,2.0,88.2,0.0,0.0,0.0,73420.0,42606.0,18700.0,40120.0,0,0,0,0,0,0,
3600.0,3600.0,3600.0,36.0,11.39,118.53,9.0,10.0,5.0,89712.0,1.0,0.0,680.0,684.0,0.0,0,0,16.0,0.0,37317.0,69.1,25.0,2811.29,2811.29,1061.07,1061.07,788.71,272.36,0.0,0,0.0,0.0,45497.0,0.0,3.0,1.0,3.0,10.0,8180.0,57.0,0.0,2.0,5115.0,67.0,54000.0,0.0,3.0,0.0,5.0,2844.0,2586.0,92.7,0.0,0.0,117.0,268.0,16.0,10.0,0.0,23.0,0,16.0,0,0.0,8.0,12.0,8.0,10.0,7.0,13.0,18.0,12.0,16.0,0.0,0.0,0.0,1.0,100.0,100.0,0.0,0.0,68290.0,45497.0,35400.0,14290.0,0,0,0,0,0,0,
4500.0,4500.0,4500.0,36.0,12.74,151.06,8.0,6.0,5.0,32000.0,1.0,0.0,660.0,664.0,1.0,0,0,7.0,0.0,6459.0,64.0,14.0,3529.97,3529.97,1351.58,1351.58,970.03,381.55,0.0,0,0.0,624.0,25255.0,2.0,2.0,1.0,3.0,5.0,18796.0,63.0,2.0,3.0,1925.0,64.0,10100.0,3.0,8.0,2.0,6.0,3608.0,1575.0,55.0,0.0,0.0,68.0,59.0,3.0,3.0,0.0,17.0,0,5.0,0,0.0,1.0,5.0,1.0,1.0,8.0,5.0,6.0,5.0,7.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,0.0,39781.0,25255.0,3500.0,29681.0,0,0,0,0,0,0,
12000.0,12000.0,12000.0,36.0,16.99,427.78,7.0,0.0,5.0,30000.0,1.0,0.0,665.0,669.0,0.0,0,72.0,3.0,3.0,8862.0,38.2,5.0,9543.2,9543.2,3821.7,3821.7,2456.8,1364.9,0.0,0,0.0,0.0,8862.0,1.0,0.0,0.0,0.0,0,0.0,0,2.0,2.0,8617.0,38.0,23200.0,0.0,0.0,2.0,2.0,2954.0,14338.0,38.2,0.0,0.0,0,241.0,0.0,0.0,0.0,0.0,0,10.0,0,0.0,3.0,3.0,3.0,4.0,0.0,3.0,5.0,3.0,3.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,3.0,23200.0,8862.0,23200.0,0.0,0,0,0,0,0,0,
13400.0,13400.0,13400.0,36.0,13.49,454.67,8.0,5.0,7.5,71000.0,1.0,0.0,690.0,694.0,0.0,79.0,76.0,10.0,1.0,11597.0,46.6,28.0,10537.39,10537.39,4066.92,4066.92,2862.61,1204.31,0.0,0,0.0,0.0,229517.0,0.0,2.0,0.0,1.0,15.0,35597.0,65.0,0.0,1.0,1996.0,59.0,24900.0,0.0,2.0,5.0,3.0,22952.0,8845.0,29.2,0.0,0.0,127.0,456.0,16.0,15.0,3.0,44.0,79.0,5.0,79.0,0.0,3.0,5.0,4.0,10.0,6.0,7.0,19.0,5.0,10.0,0.0,0.0,0.0,0.0,95.5,25.0,1.0,0.0,265900.0,47194.0,12500.0,55000.0,0,0,0,0,0,0,
19200.0,19200.0,19200.0,36.0,13.99,656.12,8.0,10.0,7.5,75000.0,1.0,0.0,740.0,744.0,0.0,0,0,8.0,0.0,12802.0,59.8,12.0,14912.89,14912.89,6067.77,6067.77,4287.11,1780.66,0.0,0,0.0,0.0,243746.0,0.0,2.0,0.0,2.0,15.0,6341.0,39.0,0.0,0.0,4126.0,57.0,21400.0,0.0,0.0,0.0,3.0,30468.0,7136.0,53.4,0.0,0.0,111.0,80.0,26.0,15.0,3.0,47.0,0,15.0,0,0.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,8.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,277588.0,24788.0,15300.0,16273.0,0,0,0,0,0,0,
